occurrence_id,source_path,source_line,label,record_kind,baseline_presence,original_target,capability,disposition,native_owner,invariant,upstream_evidence,regression_requirement,behavioral_risk,accounting_impact,status,evidence_status
LP019,scripts/patch-prime-agent.mjs,353,child passivation sweeps never evict top-level workers,patch_definition,S and current D,dist/modes/daemon/daemon-supervisor.js,P06,REPLACE_DESIGN,"packages/coding-agent/src/modes/daemon/{daemon-supervisor,daemon-mode}.ts; core/execution resource owner; core/session-manager.ts",Worker heap and passivation workarounds,"D injects 16384 MiB heap, sets top-level eviction candidates=[] and coalesces child passivation. H still has ordinary candidate selection. Preserve symptom fixtures; use bounded paging/safe passivation, not permanent heap inflation or disabled eviction.",daemon-supervisor-eviction.test.ts; daemon-supervisor-lazy-subagents.test.ts; X05/R04/F27,Whole-process memory and live-handle loss; temporary override only explicit and measured,Track process-tree residency and passivation time,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP020,scripts/patch-prime-agent.mjs,363,worker child passivation keeps an in-flight tombstone,patch_definition,S and current D,dist/modes/daemon/daemon-mode.js,P06,REPLACE_DESIGN,"packages/coding-agent/src/modes/daemon/{daemon-supervisor,daemon-mode}.ts; core/execution resource owner; core/session-manager.ts",Worker heap and passivation workarounds,"D injects 16384 MiB heap, sets top-level eviction candidates=[] and coalesces child passivation. H still has ordinary candidate selection. Preserve symptom fixtures; use bounded paging/safe passivation, not permanent heap inflation or disabled eviction.",daemon-supervisor-eviction.test.ts; daemon-supervisor-lazy-subagents.test.ts; X05/R04/F27,Whole-process memory and live-handle loss; temporary override only explicit and measured,Track process-tree residency and passivation time,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP021,scripts/patch-prime-agent.mjs,389,public attach uses long-running request timeout,patch_definition,S and current D,dist/modes/agent-connection/daemon-agent-connection.js,P05,PORT_NATIVE,packages/coding-agent/src/modes/daemon/daemon-supervisor.ts; modes/agent-connection/daemon-agent-connection.ts,Snapshot transfer ownership and timeouts,"Legacy adds long-running attach timeout, invalidatedSnapshotLoads tombstones, buffer duplicate checks, progress-refreshed assembly timeout. H lacks tombstone/refresh helper; long-running constants alone are not equivalent call-site behavior.",agent-connection-daemon.test.ts; daemon-agent-connection-reconnect-park.test.ts; slow-progress and invalidation-race fixtures; F35,"Deduplication races, stalled or unbounded transfers; retain cancellation bound",UI transfer lifetime cannot own provider receipts,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP022,scripts/patch-prime-agent.mjs,406,snapshot assembly timeout follows transfer progress,patch_definition,S and current D,dist/modes/agent-connection/daemon-agent-connection.js,P05,PORT_NATIVE,packages/coding-agent/src/modes/daemon/daemon-supervisor.ts; modes/agent-connection/daemon-agent-connection.ts,Snapshot transfer ownership and timeouts,"Legacy adds long-running attach timeout, invalidatedSnapshotLoads tombstones, buffer duplicate checks, progress-refreshed assembly timeout. H lacks tombstone/refresh helper; long-running constants alone are not equivalent call-site behavior.",agent-connection-daemon.test.ts; daemon-agent-connection-reconnect-park.test.ts; slow-progress and invalidation-race fixtures; F35,"Deduplication races, stalled or unbounded transfers; retain cancellation bound",UI transfer lifetime cannot own provider receipts,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP023,scripts/patch-prime-agent.mjs,475,snapshot begin refreshes inactivity timeout,patch_definition,S and current D,dist/modes/agent-connection/daemon-agent-connection.js,P05,PORT_NATIVE,packages/coding-agent/src/modes/daemon/daemon-supervisor.ts; modes/agent-connection/daemon-agent-connection.ts,Snapshot transfer ownership and timeouts,"Legacy adds long-running attach timeout, invalidatedSnapshotLoads tombstones, buffer duplicate checks, progress-refreshed assembly timeout. H lacks tombstone/refresh helper; long-running constants alone are not equivalent call-site behavior.",agent-connection-daemon.test.ts; daemon-agent-connection-reconnect-park.test.ts; slow-progress and invalidation-race fixtures; F35,"Deduplication races, stalled or unbounded transfers; retain cancellation bound",UI transfer lifetime cannot own provider receipts,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP024,scripts/patch-prime-agent.mjs,485,snapshot chunk refreshes inactivity timeout,patch_definition,S and current D,dist/modes/agent-connection/daemon-agent-connection.js,P05,PORT_NATIVE,packages/coding-agent/src/modes/daemon/daemon-supervisor.ts; modes/agent-connection/daemon-agent-connection.ts,Snapshot transfer ownership and timeouts,"Legacy adds long-running attach timeout, invalidatedSnapshotLoads tombstones, buffer duplicate checks, progress-refreshed assembly timeout. H lacks tombstone/refresh helper; long-running constants alone are not equivalent call-site behavior.",agent-connection-daemon.test.ts; daemon-agent-connection-reconnect-park.test.ts; slow-progress and invalidation-race fixtures; F35,"Deduplication races, stalled or unbounded transfers; retain cancellation bound",UI transfer lifetime cannot own provider receipts,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP025,scripts/patch-prime-agent.mjs,499,resident RLM child memory limit,patch_definition,S and current D,dist/core/agent-session.js,P07,TEMPORARY_GUARD,packages/coding-agent/src/core/execution; core/agent-session.ts child admission,Conservative child limit,"D sums unsettled runs and retained child objects then rejects >=1; H spawn has no equivalent cap. H visited-set cancellation is not a reservation scheduler. Keep one until W10, reserve before awaits.",agent-session-semantic-edges.test.ts; simultaneous-spawn/failure fixtures X01-X04/F32,Existing count races and conflates resident versus active resources,Unique child receipts; queue/resident/inference counts separate,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP026,scripts/patch-prime-agent.mjs,517,resident RLM child limit tightened for large sessions,patch_definition,S and current D,dist/core/agent-session.js,P07,TEMPORARY_GUARD,packages/coding-agent/src/core/execution; core/agent-session.ts child admission,Conservative child limit,"D sums unsettled runs and retained child objects then rejects >=1; H spawn has no equivalent cap. H visited-set cancellation is not a reservation scheduler. Keep one until W10, reserve before awaits.",agent-session-semantic-edges.test.ts; simultaneous-spawn/failure fixtures X01-X04/F32,Existing count races and conflates resident versus active resources,Unique child receipts; queue/resident/inference counts separate,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP027,scripts/patch-prime-agent.mjs,535,turn_end mode for failed assistant response,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP028,scripts/patch-prime-agent.mjs,547,effective mode captured from the executed batch,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP029,scripts/patch-prime-agent.mjs,565,turn_end effective mode,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP030,scripts/patch-prime-agent.mjs,577,mode returned by the selected tool execution branch,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP031,scripts/patch-prime-agent.mjs,594,finalized exchanges on failed assistant turn,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP032,scripts/patch-prime-agent.mjs,599,finalized exchange batch bridge,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP033,scripts/patch-prime-agent.mjs,631,executed normalized input captured,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP034,scripts/patch-prime-agent.mjs,645,sequential finalized calls returned,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP035,scripts/patch-prime-agent.mjs,661,parallel finalized calls returned,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP036,scripts/patch-prime-agent.mjs,677,finalized exchange event accumulator,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
LP037,scripts/patch-prime-agent.mjs,696,turn end includes finalized exchanges,patch_definition,S and current D,node_modules/@earendil-works/pi-agent-core/dist/agent-loop.js,P08,PORT_NATIVE,"packages/agent/src/{agent-loop,types}.ts; coding-agent session journal and context/events",Finalized ordered exchange capture,"H finalizeExecutedToolCall already has prepared.args and middleware-final result (883+), but FinalizedToolCallOutcome loses executedInput and turn_end only exposes message/toolResults (344/364). Capture original input before transforms and executed input after validation; retain actual selected batch mode and source order.",packages/agent/test/agent-loop.test.ts; port legacy extension final-middleware/parallel fixtures; P02/P03/C06/R01,Early tool_result is not authoritative; parallel completion must not reorder source calls,Capture once at effect edge; original/executed arguments and exact final result are source evidence,AUDITED_SOURCE_NOT_IMPLEMENTED,INTEGRATION-RISK
